Student Name,Course 1,Course 2,Course 3,Course 4,Course 5
Olivia,CSE 24,CSE 23,CSE 24,CSE 45,CSE 33
April,CSE 16,CSE 1,CSE 30,CSE 24,CSE 9
George,CSE 43,CSE 41,CSE 46,CSE 32,CSE 29
James,CSE 14,CSE 43,CSE 9,CSE 13,CSE 20
Derek,CSE 49,CSE 14,CSE 23,CSE 35,CSE 17
Kellan,CSE 13,CSE 27,CSE 2,CSE 25,CSE 18
Emily,CSE 16,CSE 49,CSE 8,CSE 4,CSE 9
Cherry,CSE 29,CSE 26,CSE 8,CSE 1,CSE 38
Sydney,CSE 37,CSE 1,CSE 25,CSE 10,CSE 36
Ted,CSE 42,CSE 24,CSE 23,CSE 37,CSE 4
Byron,CSE 39,CSE 14,CSE 42,CSE 25,CSE 21
Vanessa,CSE 14,CSE 25,CSE 1,CSE 21,CSE 35
Lucy,CSE 43,CSE 15,CSE 33,CSE 41,CSE 35
Sydney,CSE 11,CSE 48,CSE 23,CSE 48,CSE 38
Ryan,CSE 41,CSE 33,CSE 13,CSE 39,CSE 23
Lydia,CSE 49,CSE 13,CSE 9,CSE 12,CSE 26
Catherine,CSE 25,CSE 39,CSE 48,CSE 22,CSE 28
Hailey,CSE 36,CSE 14,CSE 3,CSE 34,CSE 34
Vincent,CSE 34,CSE 11,CSE 2,CSE 29,CSE 50
Arthur,CSE 40,CSE 18,CSE 7,CSE 12,CSE 18
Aldus,CSE 50,CSE 30,CSE 4,CSE 43,CSE 37
Jared,CSE 36,CSE 11,CSE 30,CSE 50,CSE 24
Miley,CSE 11,CSE 12,CSE 28,CSE 19,CSE 8
Savana,CSE 44,CSE 15,CSE 2,CSE 16,CSE 15
Oliver,CSE 39,CSE 12,CSE 2,CSE 45,CSE 45
Kristian,CSE 3,CSE 32,CSE 29,CSE 16,CSE 43
Jack,CSE 16,CSE 15,CSE 21,CSE 38,CSE 13
Marcus,CSE 25,CSE 43,CSE 9,CSE 28,CSE 3
Byron,CSE 15,CSE 7,CSE 19,CSE 42,CSE 43
Victoria,CSE 32,CSE 39,CSE 25,CSE 38,CSE 12
Carina,CSE 23,CSE 21,CSE 19,CSE 49,CSE 21
Alan,CSE 1,CSE 6,CSE 48,CSE 28,CSE 16
Owen,CSE 4,CSE 32,CSE 49,CSE 21,CSE 25
Harold,CSE 37,CSE 42,CSE 38,CSE 40,CSE 41
Preston,CSE 38,CSE 37,CSE 37,CSE 8,CSE 19
Sabrina,CSE 47,CSE 36,CSE 21,CSE 29,CSE 33
Cadie,CSE 18,CSE 26,CSE 44,CSE 3,CSE 50
Marcus,CSE 42,CSE 43,CSE 18,CSE 10,CSE 36
Daryl,CSE 12,CSE 45,CSE 29,CSE 19,CSE 11
Vanessa,CSE 29,CSE 15,CSE 6,CSE 2,CSE 34
Blake,CSE 9,CSE 48,CSE 25,CSE 34,CSE 11
Richard,CSE 35,CSE 22,CSE 5,CSE 50,CSE 14
Rafael,CSE 1,CSE 7,CSE 50,CSE 29,CSE 11
Alissa,CSE 14,CSE 3,CSE 30,CSE 13,CSE 32
James,CSE 11,CSE 39,CSE 6,CSE 11,CSE 9
Max,CSE 26,CSE 32,CSE 2,CSE 26,CSE 36
Stella,CSE 21,CSE 50,CSE 11,CSE 46,CSE 24
Connie,CSE 33,CSE 35,CSE 37,CSE 10,CSE 36
Chelsea,CSE 10,CSE 12,CSE 34,CSE 32,CSE 19
Anna,CSE 12,CSE 40,CSE 18,CSE 31,CSE 20
Cadie,CSE 16,CSE 20,CSE 38,CSE 18,CSE 13
Tara,CSE 38,CSE 36,CSE 22,CSE 50,CSE 34
Cherry,CSE 45,CSE 13,CSE 40,CSE 9,CSE 33
Victor,CSE 15,CSE 24,CSE 43,CSE 16,CSE 7
Lilianna,CSE 33,CSE 1,CSE 12,CSE 33,CSE 10
Blake,CSE 42,CSE 43,CSE 33,CSE 13,CSE 5
Aston,CSE 6,CSE 25,CSE 44,CSE 12,CSE 12
Elise,CSE 40,CSE 22,CSE 47,CSE 4,CSE 33
Clark,CSE 32,CSE 21,CSE 12,CSE 11,CSE 3
Ryan,CSE 5,CSE 39,CSE 26,CSE 11,CSE 27
Ashton,CSE 29,CSE 38,CSE 11,CSE 48,CSE 46
Miley,CSE 11,CSE 40,CSE 11,CSE 14,CSE 37
Edith,CSE 38,CSE 20,CSE 42,CSE 24,CSE 23
Carl,CSE 45,CSE 18,CSE 34,CSE 36,CSE 27
Victor,CSE 15,CSE 21,CSE 10,CSE 23,CSE 37
Roland,CSE 30,CSE 41,CSE 34,CSE 45,CSE 4
Alberta,CSE 20,CSE 32,CSE 18,CSE 28,CSE 1
Rafael,CSE 29,CSE 19,CSE 25,CSE 49,CSE 43
Steven,CSE 24,CSE 49,CSE 40,CSE 12,CSE 39
Jacob,CSE 18,CSE 11,CSE 42,CSE 44,CSE 12
Jack,CSE 28,CSE 1,CSE 21,CSE 48,CSE 9
Heather,CSE 1,CSE 37,CSE 33,CSE 44,CSE 1
Justin,CSE 41,CSE 13,CSE 40,CSE 21,CSE 18
Ryan,CSE 18,CSE 29,CSE 32,CSE 33,CSE 45
Elian,CSE 26,CSE 21,CSE 50,CSE 43,CSE 3
Fiona,CSE 26,CSE 42,CSE 22,CSE 16,CSE 49
Max,CSE 16,CSE 30,CSE 45,CSE 44,CSE 23
Sophia,CSE 43,CSE 11,CSE 6,CSE 17,CSE 43
Valeria,CSE 6,CSE 47,CSE 38,CSE 26,CSE 38
Kelvin,CSE 45,CSE 48,CSE 31,CSE 32,CSE 16
Tara,CSE 33,CSE 19,CSE 35,CSE 30,CSE 50
Alford,CSE 35,CSE 23,CSE 14,CSE 19,CSE 20
Dale,CSE 18,CSE 22,CSE 42,CSE 44,CSE 23
Vincent,CSE 17,CSE 20,CSE 6,CSE 10,CSE 15
Ned,CSE 37,CSE 25,CSE 21,CSE 45,CSE 46
Amelia,CSE 31,CSE 19,CSE 40,CSE 38,CSE 10
Julia,CSE 45,CSE 35,CSE 33,CSE 28,CSE 35
Amanda,CSE 49,CSE 31,CSE 18,CSE 4,CSE 50
Connie,CSE 47,CSE 11,CSE 19,CSE 45,CSE 39
Amber,CSE 3,CSE 50,CSE 6,CSE 14,CSE 34
Leonardo,CSE 19,CSE 28,CSE 31,CSE 19,CSE 41
Daisy,CSE 26,CSE 31,CSE 6,CSE 21,CSE 40
Edward,CSE 41,CSE 17,CSE 38,CSE 42,CSE 41
Connie,CSE 11,CSE 27,CSE 46,CSE 8,CSE 7
Lilianna,CSE 22,CSE 42,CSE 40,CSE 20,CSE 43
Marcus,CSE 41,CSE 22,CSE 44,CSE 43,CSE 5
Sophia,CSE 27,CSE 12,CSE 6,CSE 27,CSE 49
Chester,CSE 12,CSE 24,CSE 49,CSE 16,CSE 37
Anna,CSE 35,CSE 22,CSE 21,CSE 30,CSE 7
Maria,CSE 32,CSE 18,CSE 37,CSE 36,CSE 20
Olivia,CSE 9,CSE 28,CSE 6,CSE 25,CSE 50
Jenna,CSE 1,CSE 19,CSE 15,CSE 26,CSE 46
Spike,CSE 14,CSE 23,CSE 14,CSE 42,CSE 32
Tiana,CSE 17,CSE 45,CSE 49,CSE 33,CSE 48
Catherine,CSE 45,CSE 30,CSE 27,CSE 7,CSE 40
Savana,CSE 45,CSE 8,CSE 25,CSE 19,CSE 35
Chloe,CSE 15,CSE 10,CSE 24,CSE 36,CSE 13
Kellan,CSE 16,CSE 42,CSE 21,CSE 10,CSE 12
Caroline,CSE 28,CSE 44,CSE 2,CSE 25,CSE 14
Samantha,CSE 29,CSE 21,CSE 6,CSE 11,CSE 5
Kristian,CSE 41,CSE 48,CSE 15,CSE 7,CSE 22
Sienna,CSE 33,CSE 14,CSE 7,CSE 8,CSE 1
Maximilian,CSE 26,CSE 47,CSE 30,CSE 25,CSE 50
Victor,CSE 50,CSE 48,CSE 34,CSE 22,CSE 48
Nicole,CSE 34,CSE 34,CSE 8,CSE 30,CSE 32
Stella,CSE 27,CSE 24,CSE 29,CSE 36,CSE 32
Naomi,CSE 32,CSE 34,CSE 18,CSE 35,CSE 19
Rebecca,CSE 4,CSE 33,CSE 44,CSE 5,CSE 26
Maddie,CSE 48,CSE 48,CSE 11,CSE 30,CSE 24
Myra,CSE 7,CSE 3,CSE 25,CSE 1,CSE 31
Alford,CSE 2,CSE 26,CSE 29,CSE 45,CSE 14
Penelope,CSE 31,CSE 13,CSE 25,CSE 15,CSE 38
Brad,CSE 37,CSE 29,CSE 32,CSE 7,CSE 46
Amanda,CSE 37,CSE 45,CSE 6,CSE 29,CSE 18
Lucia,CSE 4,CSE 1,CSE 2,CSE 27,CSE 31
Henry,CSE 23,CSE 43,CSE 40,CSE 9,CSE 41
Marcus,CSE 36,CSE 1,CSE 31,CSE 41,CSE 16
Jenna,CSE 20,CSE 6,CSE 40,CSE 47,CSE 47
Eric,CSE 4,CSE 48,CSE 12,CSE 38,CSE 16
Marcus,CSE 25,CSE 29,CSE 45,CSE 35,CSE 7
Dexter,CSE 32,CSE 28,CSE 37,CSE 36,CSE 24
Chelsea,CSE 41,CSE 43,CSE 14,CSE 15,CSE 41
Heather,CSE 35,CSE 25,CSE 34,CSE 42,CSE 38
Rosie,CSE 31,CSE 13,CSE 10,CSE 31,CSE 42
Aida,CSE 36,CSE 30,CSE 23,CSE 17,CSE 16
Fenton,CSE 45,CSE 22,CSE 7,CSE 2,CSE 17
Preston,CSE 49,CSE 42,CSE 1,CSE 31,CSE 18
Violet,CSE 34,CSE 48,CSE 32,CSE 27,CSE 24
Lenny,CSE 16,CSE 48,CSE 20,CSE 50,CSE 7
Jordan,CSE 4,CSE 30,CSE 39,CSE 30,CSE 2
Catherine,CSE 49,CSE 48,CSE 42,CSE 37,CSE 30
Frederick,CSE 43,CSE 47,CSE 20,CSE 34,CSE 11
Belinda,CSE 14,CSE 33,CSE 31,CSE 15,CSE 22
Eric,CSE 44,CSE 9,CSE 41,CSE 6,CSE 32
Daniel,CSE 9,CSE 29,CSE 48,CSE 30,CSE 45
Maximilian,CSE 15,CSE 14,CSE 21,CSE 44,CSE 41
Wilson,CSE 48,CSE 21,CSE 32,CSE 38,CSE 37
Julian,CSE 39,CSE 37,CSE 41,CSE 38,CSE 26
Eddy,CSE 7,CSE 49,CSE 43,CSE 45,CSE 14
Sabrina,CSE 39,CSE 27,CSE 2,CSE 31,CSE 19
Olivia,CSE 26,CSE 28,CSE 19,CSE 26,CSE 19
Vanessa,CSE 2,CSE 29,CSE 36,CSE 49,CSE 35
Annabella,CSE 33,CSE 24,CSE 33,CSE 14,CSE 1
Roman,CSE 30,CSE 12,CSE 18,CSE 21,CSE 1
Jacob,CSE 13,CSE 37,CSE 2,CSE 8,CSE 11
Patrick,CSE 41,CSE 17,CSE 50,CSE 48,CSE 10
Briony,CSE 47,CSE 25,CSE 25,CSE 47,CSE 42
Isabella,CSE 31,CSE 2,CSE 10,CSE 29,CSE 43
Violet,CSE 23,CSE 17,CSE 16,CSE 17,CSE 12
Blake,CSE 40,CSE 16,CSE 46,CSE 3,CSE 7
Madaline,CSE 17,CSE 21,CSE 28,CSE 4,CSE 47
Violet,CSE 20,CSE 43,CSE 42,CSE 44,CSE 42
Bruce,CSE 37,CSE 15,CSE 15,CSE 30,CSE 10
Elise,CSE 17,CSE 24,CSE 32,CSE 12,CSE 23
Fenton,CSE 21,CSE 6,CSE 25,CSE 33,CSE 25
Chelsea,CSE 34,CSE 25,CSE 28,CSE 12,CSE 30
Frederick,CSE 2,CSE 26,CSE 15,CSE 9,CSE 17
Anna,CSE 17,CSE 45,CSE 10,CSE 38,CSE 49
Olivia,CSE 9,CSE 32,CSE 49,CSE 2,CSE 31
Valeria,CSE 24,CSE 22,CSE 14,CSE 40,CSE 31
Dominik,CSE 50,CSE 36,CSE 37,CSE 23,CSE 11
Spike,CSE 46,CSE 26,CSE 33,CSE 49,CSE 17
Annabella,CSE 35,CSE 26,CSE 24,CSE 17,CSE 37
Amanda,CSE 48,CSE 21,CSE 19,CSE 28,CSE 23
Walter,CSE 11,CSE 31,CSE 30,CSE 10,CSE 23
Gianna,CSE 31,CSE 29,CSE 18,CSE 15,CSE 38
Martin,CSE 24,CSE 45,CSE 45,CSE 35,CSE 7
Arthur,CSE 25,CSE 29,CSE 32,CSE 46,CSE 7
Cherry,CSE 2,CSE 4,CSE 5,CSE 7,CSE 16
Olivia,CSE 42,CSE 22,CSE 6,CSE 48,CSE 30
Owen,CSE 5,CSE 35,CSE 25,CSE 15,CSE 21
Stuart,CSE 7,CSE 7,CSE 36,CSE 29,CSE 3
Edgar,CSE 41,CSE 14,CSE 50,CSE 19,CSE 15
Adrian,CSE 31,CSE 41,CSE 18,CSE 24,CSE 1
Jack,CSE 21,CSE 25,CSE 28,CSE 46,CSE 6
Eddy,CSE 28,CSE 6,CSE 29,CSE 4,CSE 16
Heather,CSE 16,CSE 18,CSE 8,CSE 38,CSE 19
April,CSE 37,CSE 40,CSE 15,CSE 29,CSE 1
Amy,CSE 23,CSE 26,CSE 38,CSE 5,CSE 2
Lilianna,CSE 12,CSE 25,CSE 28,CSE 6,CSE 10
Alexia,CSE 32,CSE 20,CSE 7,CSE 5,CSE 43
Daryl,CSE 15,CSE 1,CSE 3,CSE 17,CSE 25
Alberta,CSE 39,CSE 47,CSE 31,CSE 30,CSE 43
Ryan,CSE 14,CSE 49,CSE 31,CSE 2,CSE 26
Roland,CSE 17,CSE 36,CSE 1,CSE 18,CSE 6
